function_id,budget_function,budget_subfunction
46,Energy,Energy conservation
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
15,Energy,Energy supply
15,Energy,Energy supply
19,General Government,General purpose fiscal assistance
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
67,Energy,Emergency energy preparedness
15,Energy,Energy supply
67,Energy,Emergency energy preparedness
15,Energy,Energy supply
15,Energy,Energy supply
15,Energy,Energy supply
53,Energy,"Energy information, policy, and regulation"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
23,"Education, Training, Employment, and Social Services",Research and general education aids
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
39,"Education, Training, Employment, and Social Services",Social services
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
30,Administration of Justice,Federal law enforcement activities
23,"Education, Training, Employment, and Social Services",Research and general education aids
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
23,"Education, Training, Employment, and Social Services",Research and general education aids
28,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education"
30,Administration of Justice,Federal law enforcement activities
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
23,"Education, Training, Employment, and Social Services",Research and general education aids
69,"Education, Training, Employment, and Social Services",Other labor services
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
68,National Defense,Atomic energy defense activities
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
18,Natural Resources and Environment,Other natural resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
8,Natural Resources and Environment,Water resources
32,National Defense,Defense-related activities
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
32,National Defense,Defense-related activities
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
27,Health,Health care services
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
21,Income Security,Federal employee retirement and disability
55,Veterans Benefits and Services,"Veterans education, training, and rehabilitation"
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
36,National Defense,Department of Defense-Military
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
3,International Affairs,International development and humanitarian assistance
1,General Government,Legislative functions
62,General Government,General property and records management
30,Administration of Justice,Federal law enforcement activities
20,Natural Resources and Environment,Recreational resources
20,Natural Resources and Environment,Recreational resources
13,Community and Regional Development,Area and regional development
30,Administration of Justice,Federal law enforcement activities
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
7,Community and Regional Development,Community development
23,"Education, Training, Employment, and Social Services",Research and general education aids
30,Administration of Justice,Federal law enforcement activities
69,"Education, Training, Employment, and Social Services",Other labor services
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
48,Veterans Benefits and Services,Other veterans benefits and services
68,National Defense,Atomic energy defense activities
19,General Government,General purpose fiscal assistance
19,General Government,General purpose fiscal assistance
19,General Government,General purpose fiscal assistance
10,Agriculture,Farm income stabilization
25,General Government,Other general government
22,Commerce and Housing Credit,Other advancement of commerce
12,Health,Consumer and occupational health and safety
45,"Education, Training, Employment, and Social Services",Higher education
45,"Education, Training, Employment, and Social Services",Higher education
37,International Affairs,Foreign information and exchange activities
49,General Government,Central personnel management
7,Community and Regional Development,Community development
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
69,"Education, Training, Employment, and Social Services",Other labor services
65,Governmental Receipts,Governmental Receipts
65,Governmental Receipts,Governmental Receipts
69,"Education, Training, Employment, and Social Services",Other labor services
60,Transportation,Other transportation
60,Transportation,Other transportation
15,Energy,Energy supply
12,Health,Consumer and occupational health and safety
49,General Government,Central personnel management
25,General Government,Other general government
13,Community and Regional Development,Area and regional development
40,Transportation,Ground transportation
25,General Government,Other general government
23,"Education, Training, Employment, and Social Services",Research and general education aids
23,"Education, Training, Employment, and Social Services",Research and general education aids
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
39,"Education, Training, Employment, and Social Services",Social services
45,"Education, Training, Employment, and Social Services",Higher education
18,Natural Resources and Environment,Other natural resources
45,"Education, Training, Employment, and Social Services",Higher education
24,Natural Resources and Environment,Pollution control and abatement
24,Natural Resources and Environment,Pollution control and abatement
2,Administration of Justice,Federal litigative and judicial activities
20,Natural Resources and Environment,Recreational resources
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
37,International Affairs,Foreign information and exchange activities
21,Income Security,Federal employee retirement and disability
37,International Affairs,Foreign information and exchange activities
13,Community and Regional Development,Area and regional development
3,International Affairs,International development and humanitarian assistance
25,General Government,Other general government
25,General Government,Other general government
25,General Government,Other general government
32,National Defense,Defense-related activities
25,General Government,Other general government
25,General Government,Other general government
13,Community and Regional Development,Area and regional development
13,Community and Regional Development,Area and regional development
63,Health,Health research and training
63,Health,Health research and training
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
22,Commerce and Housing Credit,Other advancement of commerce
